season,round,race_name,date,country,locality,circuit_id,split,driver_id,constructor_id,position,points,grid,laps,status,gap,fastest_rank,fastest,top_speed_kph,time_sec
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,hamilton,mercedes,1,25,1,56,Finished,1:40:25.974,1,1:43.066,193.611,103.066
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,rosberg,mercedes,2,18,3,56,Finished,+17.313,2,1:43.960,191.946,103.96000000000001
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,vettel,red_bull,3,15,2,56,Finished,+24.534,4,1:44.289,191.341,104.289
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,alonso,ferrari,4,12,4,56,Finished,+35.992,3,1:44.165,191.569,104.16499999999999
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,hulkenberg,force_india,5,10,7,56,Finished,+47.199,10,1:45.982,188.284,105.982
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,button,mclaren,6,8,10,56,Finished,+1:23.691,11,1:46.039,188.183,106.039
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,massa,williams,7,6,13,56,Finished,+1:25.076,6,1:44.897,190.232,104.89699999999999
2014,2,Malaysian Grand Prix,2014-03-30,Malaysia,Kuala Lumpur,sepang,train,bottas,williams,8,4,18,56,Finished,+1:25.537,9,1:45.475,189.189,105.475
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,hamilton,mercedes,1,25,2,57,Finished,1:39:42.743,2,1:37.108,200.634,97.108
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,rosberg,mercedes,2,18,1,57,Finished,+1.085,1,1:37.020,200.816,97.02000000000001
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,perez,force_india,3,15,4,57,Finished,+24.067,7,1:39.320,196.165,99.32
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,ricciardo,red_bull,4,12,13,57,Finished,+24.489,4,1:39.269,196.266,99.269
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,hulkenberg,force_india,5,10,11,57,Finished,+28.654,3,1:38.785,197.228,98.785
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,vettel,red_bull,6,8,10,57,Finished,+29.879,6,1:39.312,196.181,99.312
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,massa,williams,7,6,7,57,Finished,+31.265,5,1:39.272,196.26,99.27199999999999
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,bottas,williams,8,4,3,57,Finished,+31.876,13,1:39.762,195.296,99.762
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,alonso,ferrari,9,2,9,57,Finished,+32.595,12,1:39.732,195.355,99.732
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,raikkonen,ferrari,10,1,5,57,Finished,+33.462,8,1:39.438,195.933,99.438
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,kvyat,toro_rosso,11,0,12,57,Finished,+41.342,15,1:40.160,194.52,100.16
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,grosjean,lotus_f1,12,0,16,57,Finished,+43.143,9,1:39.443,195.923,99.443
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,chilton,marussia,13,0,21,57,Finished,+59.909,21,1:41.825,191.34,101.825
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,maldonado,lotus_f1,14,0,17,57,Finished,+1:02.803,11,1:39.666,195.484,99.666
2014,3,Bahrain Grand Prix,2014-04-06,Bahrain,Sakhir,bahrain,train,kobayashi,caterham,15,0,18,57,Finished,+1:27.900,18,1:41.246,192.434,101.24600000000001
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,hamilton,mercedes,1,25,1,54,Finished,1:33:28.338,2,1:41.196,193.916,101.196
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,rosberg,mercedes,2,18,4,54,Finished,+18.062,1,1:40.402,195.45,100.402
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,alonso,ferrari,3,15,5,54,Finished,+23.604,4,1:42.081,192.235,102.081
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,ricciardo,red_bull,4,12,2,54,Finished,+27.136,3,1:41.473,193.387,101.473
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,vettel,red_bull,5,10,3,54,Finished,+47.778,5,1:42.169,192.07,102.169
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,hulkenberg,force_india,6,8,8,54,Finished,+54.295,10,1:42.624,191.218,102.624
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,bottas,williams,7,6,7,54,Finished,+55.697,11,1:42.660,191.151,102.66
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,raikkonen,ferrari,8,4,11,54,Finished,+1:16.335,8,1:42.300,191.824,102.3
2014,4,Chinese Grand Prix,2014-04-20,China,Shanghai,shanghai,train,perez,force_india,9,2,16,54,Finished,+1:22.647,6,1:42.228,191.959,102.22800000000001
2014,5,Spanish Grand Prix,2014-05-11,Spain,Montmeló,catalunya,train,hamilton,mercedes,1,25,1,66,Finished,1:41:05.155,3,1:29.483,187.275,89.483
2014,5,Spanish Grand Prix,2014-05-11,Spain,Montmeló,catalunya,train,rosberg,mercedes,2,18,2,66,Finished,+0.636,2,1:29.236,187.794,89.236
2014,5,Spanish Grand Prix,2014-05-11,Spain,Montmeló,catalunya,train,ricciardo,red_bull,3,15,3,66,Finished,+49.014,5,1:30.012,186.175,90.012
2014,5,Spanish Grand Prix,2014-05-11,Spain,Montmeló,catalunya,train,vettel,red_bull,4,12,15,66,Finished,+1:16.702,1,1:28.918,188.465,88.918
2014,5,Spanish Grand Prix,2014-05-11,Spain,Montmeló,catalunya,train,bottas,williams,5,10,4,66,Finished,+1:19.293,8,1:30.424,185.326,90.424
2014,5,Spanish Grand Prix,2014-05-11,Spain,Montmeló,catalunya,train,alonso,ferrari,6,8,7,66,Finished,+1:27.743,4,1:29.898,186.411,89.898
2014,6,Monaco Grand Prix,2014-05-25,Monaco,Monte-Carlo,monaco,train,rosberg,mercedes,1,25,1,78,Finished,1:49:27.661,4,1:19.425,151.388,79.425
2014,6,Monaco Grand Prix,2014-05-25,Monaco,Monte-Carlo,monaco,train,hamilton,mercedes,2,18,2,78,Finished,+9.210,3,1:19.361,151.51,79.361
2014,6,Monaco Grand Prix,2014-05-25,Monaco,Monte-Carlo,monaco,train,ricciardo,red_bull,3,15,3,78,Finished,+9.614,2,1:19.252,151.718,79.252
2014,6,Monaco Grand Prix,2014-05-25,Monaco,Monte-Carlo,monaco,train,alonso,ferrari,4,12,5,78,Finished,+32.452,5,1:19.727,150.814,79.727
2014,7,Canadian Grand Prix,2014-06-08,Canada,Montreal,villeneuve,train,ricciardo,red_bull,1,25,6,70,Finished,1:39:12.830,4,1:18.640,199.638,78.64
2014,7,Canadian Grand Prix,2014-06-08,Canada,Montreal,villeneuve,train,rosberg,mercedes,2,18,1,70,Finished,+4.236,7,1:18.881,199.028,78.881
