driver,constructor,year,round,circuit,position,weather_type,circuit_type,status,finished
russell,williams,2021,17,americas,14,dry,permanent,+1 Lap,TRUE
ricciardo,mclaren,2021,4,catalunya,6,dry,permanent,Finished,TRUE
hulkenberg,renault,2017,12,spa,6,dry,permanent,Finished,TRUE
vettel,ferrari,2017,7,villeneuve,4,dry,street,Finished,TRUE
max_verstappen,red_bull,2017,17,americas,4,dry,permanent,Finished,TRUE
ricciardo,red_bull,2016,1,albert_park,4,dry,street,Finished,TRUE
stroll,racing_point,2020,6,catalunya,4,dry,permanent,+1 Lap,TRUE
ericsson,sauber,2017,10,silverstone,14,dry,permanent,+1 Lap,TRUE
stroll,williams,2018,1,albert_park,14,dry,street,Finished,TRUE
latifi,williams,2020,4,silverstone,15,dry,permanent,Finished,TRUE
nasr,sauber,2015,7,villeneuve,16,dry,street,+2 Laps,TRUE
perez,force_india,2018,20,interlagos,10,dry,permanent,+1 Lap,TRUE
chilton,marussia,2014,10,hockenheimring,17,dry,permanent,+2 Laps,TRUE
hamilton,mercedes,2021,9,red_bull_ring,4,dry,permanent,Finished,TRUE
sainz,mclaren,2019,15,marina_bay,12,dry,street,Finished,TRUE
ricciardo,red_bull,2016,16,sepang,1,dry,permanent,Finished,TRUE
grosjean,lotus_f1,2015,18,interlagos,8,dry,permanent,+1 Lap,TRUE
vandoorne,mclaren,2017,20,yas_marina,12,dry,permanent,+1 Lap,TRUE
button,mclaren,2016,17,suzuka,18,dry,permanent,+1 Lap,TRUE
raikkonen,ferrari,2016,21,yas_marina,6,dry,permanent,Finished,TRUE
sainz,mclaren,2020,1,red_bull_ring,5,dry,permanent,Finished,TRUE
kvyat,red_bull,2015,19,yas_marina,10,dry,permanent,Finished,TRUE
hulkenberg,renault,2018,15,marina_bay,10,dry,permanent,+1 Lap,TRUE
jolyon_palmer,renault,2016,13,spa,15,dry,permanent,Finished,TRUE
button,mclaren,2014,16,sochi,4,dry,permanent,Finished,TRUE
ocon,force_india,2018,2,bahrain,10,dry,permanent,+1 Lap,TRUE
kvyat,red_bull,2015,11,spa,4,dry,permanent,Finished,TRUE
vandoorne,mclaren,2018,1,albert_park,9,dry,street,Finished,TRUE
gasly,alphatauri,2021,22,yas_marina,5,dry,permanent,Finished,TRUE
bottas,williams,2014,18,interlagos,10,dry,permanent,+1 Lap,TRUE
